Станция,Номер линии,Дата,4/3/2024,4/2/2024,4/1/2024,3/31/2024,3/30/2024,3/29/2024,3/28/2024,3/27/2024,3/26/2024,3/25/2024,3/24/2024,3/23/2024,3/22/2024,3/21/2024,3/20/2024,3/19/2024,3/18/2024,3/17/2024,3/16/2024,3/15/2024,3/14/2024,3/13/2024,3/12/2024,3/11/2024,3/10/2024,3/9/2024,3/8/2024,3/7/2024,3/6/2024,3/5/2024,3/4/2024,3/3/2024,3/2/2024,3/1/2024,2/29/2024,2/28/2024,2/27/2024,2/26/2024,2/25/2024,2/24/2024,2/23/2024,2/22/2024,2/21/2024,2/20/2024,2/19/2024,2/18/2024,2/17/2024,2/16/2024,2/15/2024,2/14/2024,2/13/2024,2/12/2024,2/11/2024,2/10/2024,2/9/2024,2/8/2024,2/7/2024,2/6/2024,2/5/2024,2/4/2024,2/3/2024,2/2/2024,2/1/2024,1/31/2024,1/30/2024,1/29/2024,1/28/2024,1/27/2024,1/26/2024,1/25/2024,1/24/2024,1/23/2024,1/22/2024,1/21/2024,1/20/2024,1/19/2024,1/18/2024,1/17/2024,1/16/2024,1/15/2024,1/14/2024,1/13/2024,1/12/2024,1/11/2024,1/10/2024,1/9/2024,1/8/2024,1/7/2024,1/6/2024,1/5/2024,1/4/2024,1/3/2024,1/2/2024,1/1/2024
Октябрьское поле,16,ТАГАНСК-КРАСНОПР,16740,12500,10393,16394,11323,1781,8962,12299,4831,1479,4845,4497,14554,15601,18706,2576,14215,9636,6687,18110,15218,18508,1333,13434,1389,4441,7372,15137,17264,19818,6312,17987,19633,15066,15389,14212,17562,4571,10260,1286,8337,16583,10720,2406,14310,12658,11686,5684,1476,14270,11578,13784,14176,8885,15963,16039,17450,18666,18049,7389,11086,3980,3153,10270,2031,14583,16435,16277,2108,15694,3099,1359,16589,19822,17538,4312,9619,6496,1166,16748,14245,9413,1396,6966,16912,13983,5383,7165,15027,7088,8089,11410,16114,8453
Щукинская,16,ТАГАНСК-КРАСНОПР,4841,7789,8259,16035,4590,8236,4112,9195,2481,9172,6370,9492,15850,19924,1009,11705,11299,12348,6467,14183,5270,11125,15054,12831,11120,8056,15997,3003,13763,13845,12073,19946,18220,15604,1533,10520,6430,18573,5224,16183,3568,12903,4463,11378,16291,11824,12424,19359,7724,1799,18317,16944,15939,6147,12417,15627,3492,12392,5058,19572,2981,9955,5315,3482,2077,15081,14168,10013,18569,4927,7612,3320,13553,14942,8050,9149,8943,3050,12653,4852,10334,12137,14817,7010,14549,11347,1852,17036,16295,3383,12545,16505,7904,18346
Тушинская,16,ТАГАНСК-КРАСНОПР,5230,12217,12026,9393,7704,10692,8825,13321,16315,17804,15167,6592,5150,8868,6472,7457,19142,5678,11699,5219,4151,8118,19865,4464,17985,19693,13392,7135,19982,3929,2420,1660,12952,13166,17411,11350,1811,15778,6448,12300,18279,15883,4393,11401,11632,17311,7744,16650,2464,10042,11219,9383,6036,14480,4621,14947,1396,13758,8896,9593,12543,3200,4380,18786,2228,10415,12913,2975,11274,17504,12558,7378,9574,2898,17245,15278,8604,5260,5680,16811,4540,9016,5296,5517,17208,8648,1863,18761,19974,13149,11642,10945,17735,5329
Сходненская,16,ТАГАНСК-КРАСНОПР,12522,19574,3733,10108,18712,1251,17076,8978,6077,2068,8516,7139,5933,19528,1759,18033,15528,18027,7468,15210,18933,12106,1034,17667,18680,1910,4358,11559,17139,8426,17900,3943,1633,9572,2846,4826,1809,5077,9583,9657,12893,14047,9938,8054,8785,12071,3952,16299,16880,2141,6858,16338,12301,15366,9964,10630,4052,3664,3930,18593,10689,17903,11397,4675,5024,8013,11301,7243,6617,1624,7542,10014,19557,13444,10269,11030,9136,15089,19273,6871,1151,8802,1263,2042,7015,1197,4395,15477,11123,4638,1542,10763,10860,9323
Планерная,16,ТАГАНСК-КРАСНОПР,4647,12747,5519,18544,7562,3138,11394,1037,18169,7051,3268,19651,13947,18193,17523,16920,11036,19159,1614,18203,6348,2559,1485,13194,15874,19579,7194,10540,5401,14405,8801,5741,17808,15308,17047,13274,19857,5761,18871,2169,16326,19936,4828,14042,6593,11765,8187,7132,3071,14556,1102,19793,5590,2360,17959,3192,8057,6381,1400,13893,8756,10109,13593,5585,10656,15948,19413,19269,6733,15870,1308,8218,11929,5542,4820,6408,6071,2872,9729,16574,15106,7160,13612,16587,7591,14479,12458,15712,19048,15713,2229,2058,17516,8545
Алтуфьево,17,СЕРПУХОВ-ТИМИРЯЗ,4026,5422,17355,2953,1844,8340,15559,4823,1294,19130,13149,18483,6814,7397,14617,15936,14598,9943,11468,19104,6402,17353,11379,5319,6135,15120,11675,3675,5161,8622,9296,14876,2104,9585,11971,10347,5068,6609,10919,4756,13204,14393,13422,4877,9750,6294,5772,5533,2320,1425,18271,16386,19543,18034,5808,15194,6477,6939,1732,14552,11895,11394,6885,5760,13064,19027,11191,8851,14387,10394,13331,13866,2109,6956,11398,6721,5413,14130,18717,10239,16929,9049,7445,6666,7807,5657,9188,13445,7132,8576,5710,17495,6820,15763
Бибирево,17,СЕРПУХОВ-ТИМИРЯЗ,13709,17019,7891,3927,2982,14849,16783,4988,1957,4934,15890,13677,9065,6298,14551,19714,13080,8394,6071,18734,3409,10429,19449,14984,10594,14608,5995,3410,16141,8067,9242,9320,7279,19516,2978,15747,10041,5319,14412,14048,16320,5391,9740,13637,17055,7703,10837,8588,15840,18478,5811,5890,12847,19413,13952,5737,11097,4756,18011,3694,9338,5606,11564,17856,5458,7859,18127,13959,3919,12287,15751,4455,3112,19155,8030,11838,17180,12840,4525,1137,19800,2105,14999,5100,7329,11103,6670,8447,13132,3783,10143,16293,19626,14803
Отрадное,17,СЕРПУХОВ-ТИМИРЯЗ,14711,13333,4023,8365,9153,19209,8638,8791,13605,4158,14812,19492,17164,8641,13966,18935,18914,13027,10661,15196,17217,17868,13129,4589,18386,3023,1993,9083,16823,3504,10022,6002,10954,19838,15530,16310,8059,15925,4406,6594,6485,5351,7022,1727,8123,15694,9198,11602,15866,14568,8638,1191,12696,17722,7612,14616,8975,1747,8337,5925,19504,18162,1245,6438,7384,18426,13701,8926,16351,1615,4124,10009,9857,6912,19124,14502,3416,14758,14863,2678,3039,13851,15454,1523,9333,15323,14256,11467,6563,10363,9190,15288,16521,4423
Владыкино,17,СЕРПУХОВ-ТИМИРЯЗ,14789,14607,8631,6191,9262,3395,12048,5578,4045,17305,6380,15784,12517,6826,14715,1925,12630,13082,6468,18209,7059,10750,5488,16326,6041,4360,13107,15866,12398,9899,2751,18935,16115,6518,19866,5506,9254,8134,17990,8346,2333,9441,11598,4274,14248,8033,10532,2122,1941,12804,5594,4195,2535,18159,7285,1024,16865,11424,2240,12470,5015,11704,17982,14264,6075,1447,9874,18181,16435,12252,7984,17898,8474,16915,14619,7738,17903,10386,4482,2882,13782,13738,9750,3279,15159,7895,4295,7367,14104,8891,12484,8999,12608,14252
Петр.-Разумовск.,17,СЕРПУХОВ-ТИМИРЯЗ,19700,14465,1784,9458,15153,6144,12564,1260,7909,6284,6968,4768,18175,16981,17271,13040,16256,8803,18294,9777,15264,7019,12881,11114,8928,16927,7225,7649,18731,5592,7194,8202,2965,10481,18611,10856,16607,7929,8759,1949,11212,14241,9264,14084,11012,16618,8320,15658,7436,8381,4568,19117,17407,9771,12175,1482,9883,19600,5944,4305,7335,19139,11552,19977,15223,12040,13955,18342,18717,16999,9100,15794,1329,19292,10824,16864,13229,11114,13633,3146,5692,4352,6091,16577,14075,3836,7359,8922,14437,16371,2100,17039,10575,5819
Тимирязевская,17,СЕРПУХОВ-ТИМИРЯЗ,9808,17467,2153,10345,16256,11078,14639,19947,18201,1485,7331,19007,13388,3864,9178,1872,14667,12839,17335,16018,11716,9876,3083,18566,15194,11932,17876,13369,17674,10986,15108,15139,19183,18520,2966,11894,2916,1247,10602,5627,4668,3732,9527,16814,9074,2253,14611,17367,6420,10460,5011,1935,10343,6036,5930,19659,12075,8318,17461,19828,14498,16020,9946,3043,11708,18591,10144,3625,14674,11536,11498,14116,1180,8852,15036,7103,16482,4967,5022,11917,19914,12166,18670,1832,16524,10734,4975,17667,7708,5273,8511,5269,17528,6264
Дмитровская,17,СЕРПУХОВ-ТИМИРЯЗ,7278,9166,8026,3270,5189,18867,3743,12625,10350,13913,8263,19537,2931,10758,9513,4401,5813,1425,7184,2119,3107,15346,6505,5286,3575,19604,9017,11668,3964,12766,7046,15855,14866,17920,4995,18159,3450,7789,2435,17890,14415,5114,11784,16174,11821,13560,5671,1545,9531,13718,17864,11506,7688,12716,5045,3658,7583,4845,19712,15764,15842,10047,3330,3678,4465,8246,9146,7719,6930,10654,4246,3360,4777,17186,15885,4351,16872,4373,5108,8099,18745,4161,4396,16255,1141,3975,1486,9517,18769,15067,16718,12191,9633,19909
Савёловская СТЛ,17,СЕРПУХОВ-ТИМИРЯЗ,12715,10430,4227,6527,10270,2740,10198,12242,3128,1944,17394,13874,14893,14265,14770,2255,19286,14034,11755,10372,2034,7434,1644,13734,18763,12030,13530,2565,9357,14573,8539,8498,12500,17550,5144,11883,8760,14555,2659,16143,11373,17607,15658,6404,17914,19341,8668,12364,8450,7692,11882,3145,8438,17722,7415,4604,4204,6256,19856,9384,4411,3407,14591,8394,16635,7742,12950,5269,15196,13225,18402,11306,8577,12997,7487,13681,17999,7436,19529,6086,18426,16103,1749,10603,1353,14019,5808,5882,14503,14157,10016,10428,15900,9195
Менделеевская,17,СЕРПУХОВ-ТИМИРЯЗ,12900,8531,15287,8939,17788,14694,2792,12988,19772,14296,1692,8873,7366,16458,6078,5176,5664,2964,1123,3599,1158,6277,16447,11034,2416,6472,15218,16371,5103,15442,16547,17113,5613,13838,11189,14043,11460,10207,9669,7504,13735,19714,9652,9478,17977,17796,18622,18061,9367,2082,14085,5218,3019,11385,16586,1960,11977,17409,8381,2383,19546,13419,15994,7051,11354,4589,12132,4895,11621,15417,7638,10855,1429,16694,7001,11880,2006,3817,19860,15064,2353,2348,6581,16124,11629,18450,8300,5189,6120,11154,6415,8516,6943,18191
Цветной Бульвар,17,СЕРПУХОВ-ТИМИРЯЗ,5909,13597,18032,18567,6173,4828,18547,9414,10803,5396,2887,17180,5192,12654,17032,19703,17144,1328,17381,19148,10473,17938,5358,4769,10686,17919,10613,9417,16831,6512,15625,17970,9557,15331,6610,15701,3686,3391,7506,7620,7277,4975,19265,3414,3218,4348,19072,13768,2595,13565,1714,17076,18287,19550,15280,3753,17504,12420,11543,5458,10296,13668,9652,8976,19147,11577,10051,8538,7202,18383,12558,8047,5167,16570,9219,3632,1887,2002,19927,5007,3456,2054,19639,9466,4274,14065,13003,1824,8437,14847,3956,17857,2051,1093
Чеховская,17,СЕРПУХОВ-ТИМИРЯЗ,8410,13478,7845,14260,3082,18556,2831,14068,5524,6614,3295,12138,4247,7068,15336,14129,13017,16908,9109,2971,1776,18873,12264,7427,18092,5962,3519,7593,2120,13986,1182,1263,2878,18452,5917,7617,19786,1293,1148,2925,7541,8577,15334,13175,1910,16117,9018,7727,6880,9919,3239,14502,14332,5755,17584,7107,1872,11585,8925,18937,5190,15272,4713,11746,1561,12123,18205,10713,18522,2442,14227,3323,14966,14913,12637,16223,6718,14833,11628,13791,9024,15869,15635,19373,12266,15469,4391,4384,16555,19464,17737,4234,17743,15815
Боровицкая,17,СЕРПУХОВ-ТИМИРЯЗ,6307,13793,3235,18705,2446,4163,15978,5009,11778,8359,7828,4727,15569,13681,2909,10189,10875,18569,9366,8562,2345,18501,15142,4342,7458,10882,6081,15842,14645,18725,17553,13070,18766,9562,18148,10373,1596,6015,19109,13525,11695,8333,13418,13056,17376,8095,17150,18333,8659,5993,1313,8010,10395,13173,10735,15043,5594,8235,7683,18559,7852,14233,4412,18448,7533,5881,9431,1754,15750,5467,12992,8505,5208,15914,9660,18970,9313,2061,5050,5388,11971,2770,15073,11811,13927,1990,17732,18599,13436,7462,9506,18811,15444,3863
Полянка,17,СЕРПУХОВ-ТИМИРЯЗ,3254,4749,9806,12720,8037,18222,4594,14929,12604,11353,12168,3787,2204,1917,16272,17667,17798,4963,18139,11480,3100,15671,9176,2877,16510,17055,2849,5570,12182,12853,7600,1177,13621,5887,16360,15613,12506,2896,16676,13345,13554,8243,5882,13637,8853,2688,11212,9146,1564,17508,2485,19456,3519,4697,17713,11616,5701,2426,17686,9455,19868,17912,9480,15890,8989,13847,1361,10219,3445,5866,8824,4425,17615,9090,1925,14263,16628,10815,13668,8482,15255,7440,11024,15804,11010,7627,7346,8627,15329,14538,8637,18074,2285,6561
Серпуховская,17,СЕРПУХОВ-ТИМИРЯЗ,8130,2423,15714,18779,1414,18402,5321,3975,16404,8967,3832,13165,6965,5202,11335,10169,12003,8870,11465,10258,13838,16519,6091,10569,16219,2991,15485,3224,10899,14850,13830,4880,10254,10181,3570,5893,5971,18026,17192,5358,19556,5045,4319,4616,1807,2382,8511,15335,9654,1725,3532,15120,14390,19682,18150,10147,1719,7190,8305,18028,2204,9533,11501,14691,8795,5466,7383,6776,9000,17637,19887,9125,10061,7960,13522,17826,8824,19970,15593,10881,11324,18170,2818,16265,14112,19688,4049,8730,12420,9021,19527,4954,18414,8963
Тульская,17,СЕРПУХОВ-ТИМИРЯЗ,6350,6864,3498,5824,5369,6814,12348,7928,2547,7919,15050,5950,8344,8011,3864,4404,7972,13641,4920,10020,10052,18025,5798,19425,5086,3446,11517,4045,3523,1864,7454,13673,19607,10900,2103,7063,9648,6409,5092,9297,18984,8170,4644,13553,6857,6200,17770,16917,19755,6395,7051,9004,6004,7205,9366,4712,3233,15837,2199,18868,18833,17260,13474,16421,17517,2464,13935,10814,1508,18992,10258,6488,11068,6012,6044,13059,14188,9631,16747,7713,9936,15623,8035,7364,11662,5849,3832,11002,7308,3422,9458,16225,14954,9415
Нагатинская,17,СЕРПУХОВ-ТИМИРЯЗ,12361,7498,18326,1918,15781,13776,16122,1640,4240,14382,19564,8919,13646,17100,10252,19249,8215,11261,11946,17047,8731,10625,16284,8407,2946,2485,19705,10312,6781,16704,17684,18327,19526,11049,1044,15217,13811,19654,6987,2169,18273,8697,2331,16654,17403,16542,18459,19127,17169,17563,8400,17869,12337,19302,4706,2358,4591,3062,10506,19771,7311,5247,5522,10299,8157,7900,17354,7284,5191,18422,2515,10900,5044,16398,10140,3945,17874,8953,6279,14226,8517,14494,17596,12088,2115,2811,10021,12824,14239,7443,4821,2533,8722,19100
Нагорная,17,СЕРПУХОВ-ТИМИРЯЗ,4114,1906,6563,10688,7925,6651,3604,8403,8225,2938,13820,10426,7851,3306,17504,1578,1558,8546,3119,12958,18104,4305,5236,17244,5990,3520,3014,2264,15223,3868,11083,14048,19268,7467,10174,1562,2658,4978,4090,19214,8146,15071,7681,7412,12094,6088,10133,6545,13450,18496,16829,7735,12876,13517,12085,7331,7142,5113,3266,16021,11453,13822,14931,9348,1061,13335,4970,12449,19922,7848,4573,7839,17533,6250,14354,19882,2022,6579,2403,15627,11621,8142,16036,15885,15670,13423,19243,13232,10884,15114,19505,2381,7569,11663
Нахимовский пр-т,17,СЕРПУХОВ-ТИМИРЯЗ,6849,8381,18231,14186,18382,17811,12106,4708,4786,9301,7803,19534,2241,9342,13893,8308,7835,8638,3977,1522,2505,17982,2800,11241,16904,1901,19782,16061,1311,6953,5271,5280,12535,6794,2340,2112,4468,4621,14413,7368,10204,15145,11534,1085,2664,9780,13864,3400,19963,1712,3064,10646,15544,11239,8254,14598,4723,1133,13432,1108,17476,19615,6508,17897,11358,17227,3622,8356,18655,4440,17124,15186,4463,1671,2079,11745,8481,6395,18891,15147,4373,2737,4489,16431,17373,14535,10722,17052,18050,4495,12863,8755,1608,10819
Севастопольская,17,СЕРПУХОВ-ТИМИРЯЗ,19647,13625,17495,11843,4134,19012,6899,6173,2897,9045,6638,1164,6275,13723,1526,1753,13374,16627,4899,5493,5547,14318,8233,15197,16896,17932,7807,4935,12578,4016,7607,8601,19969,13090,10578,17552,5103,15369,13890,11916,14859,18686,16363,3975,19256,1053,4831,8559,16547,19436,12062,16035,15930,14122,7783,16702,17222,4589,10700,14171,12862,4189,2030,16526,2785,15668,12466,1893,12512,11937,7033,6273,2286,14633,14347,3739,6528,7569,3775,3750,10091,8932,10953,13981,18062,3630,15831,19643,15890,16061,7709,3787,4773,14992
Чертановская,17,СЕРПУХОВ-ТИМИРЯЗ,10758,10569,6683,15849,2030,2289,5695,7486,6889,7562,11058,6315,3215,17140,17549,12575,2337,7199,3474,5685,12102,7775,9274,7889,13764,4949,8231,3099,18965,11844,4923,3719,9786,4240,19226,9887,18622,15577,7775,10014,14750,6484,1600,7984,11563,12540,12135,9339,14027,1705,12048,8973,5933,16007,16991,7419,3261,1705,17138,1741,13289,18156,3676,5955,7573,13253,4273,17392,19306,14046,3820,8056,16508,9544,11892,12380,12547,6542,16451,9864,5053,14477,3949,1228,9867,1535,10304,12466,5758,14038,6491,11480,14113,3950
Южная,17,СЕРПУХОВ-ТИМИРЯЗ,18227,15782,4248,15070,11256,5032,18133,18487,4927,10064,7691,19196,19845,18645,19433,15134,9795,8206,19568,18042,10879,7013,14669,3520,16449,15352,13249,11980,12466,11029,12900,12845,19868,8874,16222,1973,16457,12019,19587,5771,5697,15358,18971,11191,12569,17931,8703,3117,15812,12530,15400,10575,19606,3933,15376,19145,3807,11605,4879,2884,16419,12973,2311,8819,10718,9289,14617,14561,11851,2639,12924,12810,1946,4481,2451,1604,1569,19218,9871,14773,13039,16300,2110,12792,3261,16917,6176,5488,12699,14760,3568,7203,5069,15721
Пражская,17,СЕРПУХОВ-ТИМИРЯЗ,19731,14043,14568,2085,3039,17862,11955,3192,6375,7087,1546,7024,13195,9138,13316,12829,10840,15966,11894,1341,19497,4900,3067,9919,12096,6497,9225,13103,9076,1673,1906,14937,14629,6305,6442,13341,9165,1134,3216,7320,12627,15179,17776,19986,19334,14713,19462,18915,5336,19344,18020,16076,12648,18013,17473,12222,10947,4965,9694,11344,7001,14410,10621,9293,12760,9612,10543,12142,1432,14430,4181,19623,15142,5901,7526,10859,16226,7461,10792,5900,3251,1493,12717,2207,15178,15970,19705,2331,8902,17358,4873,3672,19137,4667
Чкаловская,18,ЛЮБЛИНСКАЯ,4191,15221,10866,13340,5293,5115,18008,10690,16304,4667,14817,7728,15564,19223,17097,7544,14493,15543,19367,3837,6064,15715,17685,9597,6593,5995,7857,16636,5979,18399,8529,3314,2658,7331,8343,17127,9946,5816,5880,18428,18711,16369,15344,7819,13537,8917,6301,8281,8015,16321,12339,5510,18883,11069,3402,17443,2671,15574,19492,10072,19340,19935,13964,4980,11749,15090,9740,5575,3443,1857,8705,6284,11175,11140,13144,1692,10168,2084,1176,1631,4730,2839,15468,10679,6151,12006,3977,10955,18415,13067,2482,8771,14108,4210
Римская,18,ЛЮБЛИНСКАЯ,6743,8269,14421,5046,6620,4769,9847,3652,3690,19995,11169,7459,16449,14573,18107,7751,17711,14680,2647,9031,16573,6215,19298,4030,11971,9937,16321,14048,5123,6085,8819,2840,8298,16566,13534,12772,8111,2186,15200,13031,2878,15010,10101,3832,18840,1822,17767,19014,17087,7202,1104,18828,12985,5853,16491,13885,15417,14358,16917,7370,8047,9199,10186,8951,2245,6498,10094,14810,1769,18642,8836,12379,9248,4111,17849,3895,7582,4663,1510,4040,5318,1595,15775,2054,19227,5086,5223,14380,5537,13190,18980,10238,6912,9017
Крест. застава,18,ЛЮБЛИНСКАЯ,4156,5579,6807,6473,3871,8585,18632,13603,15267,11555,18450,16556,16195,6479,19465,4410,9556,10429,19765,3800,3861,4564,2491,9683,6439,7246,1024,17513,10350,5742,14979,2468,3467,18848,10948,13024,5599,15070,18738,9834,14951,19416,12626,8682,13548,11583,7770,13646,4399,7285,8442,5299,6841,8058,12692,18340,19191,10186,1628,13273,5975,8182,3541,1063,8054,13936,12170,4609,13922,2554,3769,14729,19466,12211,19133,10744,19503,11246,5682,9892,9307,18411,13247,19724,6781,7371,10519,11110,12997,15727,12966,17180,16236,6750
Кожуховская,18,ЛЮБЛИНСКАЯ,9447,15895,7013,6650,6718,18089,19813,19379,12466,11318,7034,9315,18184,16034,14896,9347,5868,14377,17716,5717,14139,8828,3688,14901,14106,8974,15408,3865,13567,11774,2064,9623,11558,12576,4095,6008,6187,14924,5415,6774,8581,16282,18024,12748,18337,5661,19269,10948,1939,7600,7079,16086,9432,8126,6065,16881,3649,17893,18924,14787,4472,12642,5127,1484,19482,5940,2765,6349,5227,10231,11261,15669,16476,12907,9572,4962,4999,7956,13947,6296,6710,19233,13531,5629,18112,15077,6587,7774,19252,1308,6886,3901,16599,14269
Печатники ЛДЛ,18,ЛЮБЛИНСКАЯ,10071,1143,5374,17533,19341,11728,14465,19180,15230,14656,12354,7303,9205,4089,2921,4987,3032,6039,11432,4689,9101,2096,16956,7316,15646,11292,12839,6999,11730,5718,17789,19377,19842,9952,2464,13426,3994,18447,8035,11872,9302,18681,4056,8867,11136,10536,7981,14945,8173,11390,18149,5412,13264,9403,3487,9767,2556,13596,6063,10445,1108,12405,9836,16550,19158,13434,12610,3053,6293,1080,13159,3291,11117,17548,1650,13082,13137,3527,4454,9355,1797,4179,12840,2940,15129,1888,9032,18230,13922,8426,11251,18333,16949,4174
Волжская,18,ЛЮБЛИНСКАЯ,2466,19477,18769,2829,14311,17640,2079,1519,8937,2371,9044,8829,11543,12097,15477,13712,8795,9294,2433,8295,4824,19587,2589,18617,16007,1495,15150,7468,19832,15122,10901,5134,18763,3094,17335,8915,14760,12603,5441,11470,12766,17366,6589,13129,5819,19375,17443,2840,16702,3807,9790,10020,12709,9629,3420,11360,16505,18027,7174,10378,19287,14601,2359,9532,15391,5410,2609,4214,9501,11560,12808,3152,5598,7442,11651,7624,15197,17312,6490,18298,19153,10042,7303,2563,17694,4191,1361,9075,17049,6921,5210,17664,15905,14752
Люблино,18,ЛЮБЛИНСКАЯ,5769,10661,11408,4531,15723,5365,10933,10299,13250,14322,6356,17557,4597,19397,6533,15216,12022,4604,16853,9121,14095,13890,5519,12693,13910,5014,12255,11894,13124,18654,2961,7585,8234,12874,13689,19792,13959,12588,9975,17072,11351,4248,18823,6487,15657,5468,9093,9513,2026,13827,16490,12606,19622,3584,5732,14548,3169,7968,13653,10000,12330,8876,13995,16283,4803,4143,4670,12042,17301,5242,7125,17391,17953,18260,11626,9307,1438,12700,6389,4147,15458,1446,6456,9764,3271,8462,15865,6644,10127,14315,8506,6806,3135,11507
Братиславская,18,ЛЮБЛИНСКАЯ,9217,13320,19518,6395,3098,10134,16584,3017,18390,4964,10798,4327,1549,17181,14815,17267,6579,7573,5354,4474,15610,1508,9491,12954,16029,16410,12428,18269,12175,13182,15826,6870,19512,8995,2796,6516,14882,4472,11020,14320,15914,19539,8563,7667,19822,2554,15194,12954,11748,15988,10213,10069,15680,3166,14907,3643,12482,17979,1083,16340,15627,10243,17746,10463,8680,19174,17313,12045,17459,7766,4054,16990,1204,4485,11046,10286,11561,8513,10961,11167,3325,12292,10159,15567,14501,11041,16377,2674,17690,6702,17159,9802,7697,4318
Марьино,18,ЛЮБЛИНСКАЯ,14730,10499,3062,14034,6851,6705,6603,12068,4363,18096,14679,17129,16414,10253,12337,1998,19377,5876,8964,2848,18602,8712,4724,7359,5847,4424,17237,6817,8401,13932,8633,14448,3080,13899,3944,2556,2931,2641,3438,3059,19317,19649,17507,9038,10949,1935,15504,12959,12817,14405,4352,8654,10926,11224,1163,3712,13210,4141,10516,1115,15688,8365,3515,15282,11180,2552,3144,1775,13588,19151,12946,10338,18597,9755,14440,3147,16035,5085,14926,7466,14661,8521,11839,9860,5783,7917,8679,18820,11764,1810,18739,13360,8714,11791
Стенд,609,КОЛЬЦЕВАЯ,5690,5366,3948,16598,17187,3922,7933,6132,16659,6226,7003,14399,16411,17645,13441,11646,8927,16593,2527,9393,14642,7015,8532,1245,17446,9118,14571,12576,12797,12474,13811,15544,2596,19083,9553,2422,3119,7158,4184,14392,19332,17542,2053,4524,6792,6680,13585,12888,14420,18868,6122,10020,18727,10917,4598,1022,18450,3917,5165,2687,9704,18231,6006,2161,5961,6696,6699,11483,12883,19486,6200,8391,19347,13589,6368,1281,13290,6585,12762,1412,5780,13200,12184,2001,18945,13098,11067,18807,19663,14088,4176,11358,11094,15078
